customer_id,signup_date,snapshot_date,plan_type,plan_price,city,tenure_months,tenure_days,logins_last_7d,logins_last_30d,logins_per_month_avg,orders_total,orders_last_30d,avg_order_value,total_spend,support_tickets_total,support_tickets_last_30d,items_skipped_total,items_skipped_last_3_boxes,nps_score,days_since_last_login,days_since_last_order,churn_30d,churn_date,cancel_reason
SC-100000,2023-07-28,2024-01-15,family,79.99,San Jose,5.7,171,1,2,4,13,1,40.43,525.6,2,1,0,0,10.0,3,0,0,,
SC-100001,2023-10-12,2024-01-15,basic,29.99,Seattle,3.2,95,1,8,3,2,0,41.87,83.73,0,1,0,0,4.0,0,95,0,,
SC-100002,2022-07-24,2024-01-15,basic,29.99,San Diego,18.0,540,0,3,6,17,2,32.72,556.31,5,1,2,0,9.0,19,102,1,2024-02-03,too_expensive
SC-100003,2023-01-23,2024-01-15,basic,29.99,Phoenix,11.9,357,3,6,7,28,1,31.89,893.05,1,0,0,0,3.0,14,5,0,,
SC-100004,2023-11-19,2024-01-15,basic,29.99,Philadelphia,1.9,57,2,3,7,2,0,30.95,61.89,0,0,0,1,6.0,11,15,0,,
SC-100005,2023-04-15,2024-01-15,basic,29.99,Boston,9.2,275,2,2,9,9,2,83.09,747.85,1,1,1,0,3.0,1,4,0,,
SC-100006,2022-01-01,2024-01-15,basic,29.99,Philadelphia,24.8,744,2,7,8,21,0,17.69,371.41,3,0,1,0,6.0,1,29,0,,
SC-100007,2023-03-28,2024-01-15,basic,29.99,Austin,9.8,293,1,5,10,19,1,40.16,762.98,0,0,0,0,8.0,22,13,0,,
SC-100008,2023-08-26,2024-01-15,premium,49.99,Portland,4.7,142,1,4,3,10,2,27.84,278.43,0,0,0,0,,0,28,0,,
SC-100009,2022-05-25,2024-01-15,basic,29.99,Boston,20.0,600,2,3,3,20,2,48.99,979.77,7,0,0,0,,3,45,0,,
SC-100010,2024-01-07,2024-01-15,premium,49.99,Dallas,0.3,8,3,8,6,0,0,52.29,0.0,0,0,0,0,8.0,1,8,0,,
SC-100011,2022-07-10,2024-01-15,basic,29.99,Phoenix,18.5,554,0,3,4,20,1,42.53,850.58,2,0,4,0,8.0,22,3,0,,
SC-100012,2023-05-13,2024-01-15,basic,29.99,Seattle,8.2,247,2,6,7,7,0,31.22,218.55,2,0,0,0,5.0,3,5,0,,
SC-100013,2023-09-25,2024-01-15,basic,29.99,Houston,3.7,112,2,4,10,4,3,82.3,329.19,0,1,2,0,10.0,1,11,0,,
SC-100014,2023-11-26,2024-01-15,family,79.99,Denver,1.7,50,3,14,3,1,1,40.23,40.23,0,1,0,0,,5,6,0,,
SC-100015,2023-10-22,2024-01-15,premium,49.99,San Jose,2.8,85,0,2,0,2,0,55.36,110.73,0,0,0,0,4.0,14,67,1,2024-02-09,found_alternative
SC-100016,2022-11-14,2024-01-15,basic,29.99,Dallas,14.2,427,1,8,3,12,3,38.73,464.81,0,0,0,0,,5,5,0,,
SC-100017,2023-08-15,2024-01-15,basic,29.99,Austin,5.1,153,1,6,5,4,0,64.12,256.48,0,0,1,0,7.0,0,11,0,,
SC-100018,2022-01-01,2024-01-15,family,79.99,Philadelphia,24.8,744,3,5,9,25,0,35.41,885.23,0,0,3,1,7.0,36,5,0,,
SC-100019,2023-07-25,2024-01-15,family,79.99,Philadelphia,5.8,174,0,3,0,6,0,49.62,297.71,3,0,1,0,8.0,2,174,1,2024-02-13,found_alternative
SC-100020,2023-01-20,2024-01-15,basic,29.99,Houston,12.0,360,0,7,6,10,0,65.73,657.29,3,0,2,0,,6,15,0,,
SC-100021,2023-02-04,2024-01-15,basic,29.99,Seattle,11.5,345,2,1,2,13,1,65.98,857.8,0,0,1,0,5.0,5,45,0,,
SC-100022,2023-10-23,2024-01-15,premium,49.99,Austin,2.8,84,1,5,6,2,0,32.47,64.94,1,0,0,0,10.0,1,0,0,,
SC-100023,2023-05-27,2024-01-15,premium,49.99,Los Angeles,7.8,233,0,11,6,7,2,41.85,292.98,6,0,0,0,8.0,12,2,0,,
SC-100024,2022-01-01,2024-01-15,premium,49.99,Los Angeles,24.8,744,2,8,6,25,1,47.86,1196.58,3,1,1,0,8.0,1,0,0,,
SC-100025,2023-11-23,2024-01-15,family,79.99,Philadelphia,1.8,53,0,2,6,2,0,41.53,83.06,1,1,1,0,6.0,1,53,0,,
