customer_id,event_date,event_type,event_id,order_value,ticket_category
SC-100000,2024-01-07,order,E-6059351,23.31,
SC-100000,2023-08-25,page_view,E-5230391,,
SC-100000,2023-08-03,login,E-7654395,,
SC-100000,2023-10-06,page_view,E-1166725,,
SC-100000,2023-09-28,order,E-2648102,63.99,
SC-100000,2023-09-23,page_view,E-8813898,,
SC-100000,2023-09-01,login,E-3922963,,
SC-100000,2023-08-23,page_view,E-7125657,,
SC-100000,2023-12-14,login,E-5727330,,
SC-100000,2023-08-19,page_view,E-4159461,,
SC-100000,2023-12-26,order,E-5149152,49.23,
SC-100000,2023-11-13,order,E-2889920,78.32,
SC-100000,2023-08-05,login,E-2916377,,
SC-100000,2023-08-04,order,E-6322528,58.85,
SC-100000,2023-08-20,page_view,E-6647366,,
SC-100000,2023-09-21,page_view,E-9409971,,
SC-100000,2023-09-25,order,E-3525912,40.83,
SC-100000,2023-12-04,page_view,E-2219810,,
SC-100000,2023-12-29,login,E-3541799,,
SC-100000,2023-08-03,login,E-3172515,,
SC-100000,2023-12-18,page_view,E-4462514,,
SC-100001,2023-11-06,login,E-7290413,,
SC-100001,2024-01-11,order,E-6401575,25.16,
SC-100001,2024-01-03,login,E-4309795,,
SC-100001,2024-01-09,login,E-5463190,,
SC-100001,2023-12-20,order,E-7539900,32.58,
SC-100001,2023-12-04,page_view,E-3008244,,
SC-100001,2023-11-09,order,E-4421618,38.58,
SC-100001,2023-12-08,login,E-7144862,,
SC-100002,2023-05-04,page_view,E-4054881,,
SC-100002,2022-07-30,email_open,E-3236729,,
SC-100002,2023-01-03,login,E-2198406,,
SC-100002,2023-09-29,email_open,E-4511403,,
SC-100002,2023-07-07,page_view,E-6204783,,
SC-100002,2023-05-04,login,E-6985249,,
SC-100002,2022-12-30,page_view,E-2216822,,
SC-100002,2023-03-01,login,E-5921143,,
SC-100002,2023-07-03,login,E-5220345,,
SC-100002,2022-11-05,order,E-5582370,65.25,
SC-100002,2022-10-26,login,E-5939925,,
SC-100002,2023-08-17,login,E-1890025,,
SC-100002,2022-10-31,email_open,E-1892611,,
SC-100002,2023-07-26,page_view,E-7002259,,
SC-100002,2023-07-11,login,E-1151968,,
SC-100002,2023-04-20,page_view,E-2900734,,
SC-100002,2022-09-06,order,E-3066626,131.11,
SC-100002,2023-11-06,page_view,E-7836740,,
SC-100002,2022-11-28,email_open,E-6213632,,
SC-100002,2023-08-15,order,E-2898102,53.78,
SC-100002,2022-10-12,login,E-7984747,,
SC-100002,2023-05-20,order,E-6595212,58.59,
SC-100002,2023-07-29,login,E-2132710,,
SC-100002,2023-02-05,order,E-9625758,32.77,
SC-100002,2022-10-03,order,E-7437404,48.04,
SC-100002,2022-09-08,support_ticket,E-2832437,,account
SC-100002,2023-03-14,login,E-2087965,,
SC-100002,2023-05-16,page_view,E-3802191,,
SC-100002,2022-10-13,login,E-5217223,,
SC-100002,2023-03-19,login,E-1745114,,
SC-100002,2022-11-04,login,E-2106283,,
SC-100002,2023-08-17,login,E-9238284,,
SC-100002,2023-05-04,login,E-7130003,,
SC-100002,2023-10-31,email_open,E-4053036,,
SC-100002,2023-08-01,page_view,E-1132517,,
SC-100002,2023-01-06,login,E-6262474,,
SC-100002,2023-08-07,page_view,E-4586161,,
SC-100002,2023-07-22,order,E-8584845,58.95,
SC-100002,2023-02-23,login,E-6700034,,
SC-100002,2023-04-23,page_view,E-1495186,,
SC-100002,2022-10-05,page_view,E-1145370,,
SC-100002,2023-01-15,email_open,E-4378973,,
SC-100002,2023-03-31,login,E-3731528,,
SC-100002,2023-01-07,email_open,E-2619001,,
SC-100002,2023-11-09,login,E-5276630,,
SC-100002,2023-08-16,order,E-5021242,92.54,
SC-100002,2023-04-26,page_view,E-9256067,,
SC-100002,2023-03-05,page_view,E-1328293,,
SC-100002,2023-06-21,page_view,E-6765610,,
SC-100002,2022-09-19,email_open,E-5813648,,
